texte,individu,lieu,moment
"le Saturday 29 February 2020 à 05h18, Henri Jourdan s’effaça dans l’ombre d’un porche sans prononcer un mot.",Henri Jourdan,le vieux marché,le Saturday 29 February 2020 à 05h18
Michelle Brun du Aubert tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.,Michelle Brun du Aubert,la gare centrale,au lever du jour
"Nul ne sut pourquoi tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, juste après le coucher du soleil.",,"6, boulevard de Vasseur, 34031 Pottier",juste après le coucher du soleil
Émile Collin déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention .,Émile Collin,,le Saturday 20 January 2018 à 05h52
"Nul ne sut pourquoi laissa tomber un trousseau de clés sans s’en apercevoir, le Friday 01 January 2016 à 04h30.",,"17, rue Honoré Lopez, 92820 Brianddan",le Friday 01 January 2016 à 04h30
"Martin Lemaire fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement. C’était juste après le coucher du soleil.",Martin Lemaire,"16, rue Danielle Richard, 84980 Dos Santos",juste après le coucher du soleil
"la vieille dame au chapeau rouge jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",la vieille dame au chapeau rouge,le hall d’un immeuble,en pleine nuit
"William Caron à 47, chemin de Martel, 42737 Durand, le Wednesday 19 September 2018 à 23h49, tapota un lampadaire de la paume comme pour vérifier sa solidité.",William Caron,"47, chemin de Martel, 42737 Durand",le Wednesday 19 September 2018 à 23h49
"Dans le silence, une silhouette encapuchonnée jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans la cour d’une école.",une silhouette encapuchonnée,la cour d’une école,pendant la pause déjeuner
"en début d'après-midi, la responsable du centre d'accueil poussa un cri bref avant de disparaître entre deux voitures.",la responsable du centre d'accueil,,en début d'après-midi
Franck-Lucas Chartier poussa un cri bref avant de disparaître entre deux voitures.,Franck-Lucas Chartier,un parc désert,
"Sans dire un mot, laissa tomber un trousseau de clés sans s’en apercevoir dans un arrêt de bus.",,un arrêt de bus,un dimanche pluvieux
"Jean Bègue à 8, avenue Legrand, 13665 Renard-les-Bains, , fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",Jean Bègue,"8, avenue Legrand, 13665 Renard-les-Bains",
", un agent municipal laissa tomber un trousseau de clés sans s’en apercevoir.",un agent municipal,"rue de Cohen, 58733 Letellier-sur-Chauveau",
"Nul ne sut pourquoi Margot Da Costa-Maillet fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement, à la sortie des bureaux.",Margot Da Costa-Maillet,"90, rue Thibaut Masson, 54563 Rousseau",à la sortie des bureaux
"Dans le silence, jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans le bord d’un canal.",,le bord d’un canal,
Benoît Potier s’effaça dans l’ombre d’un porche sans prononcer un mot.,Benoît Potier,la gare centrale,le Tuesday 11 October 2016 à 00h12
"le Wednesday 03 July 2024 à 08h27, le pharmacien de garde ouvrit un sac en plastique et en sortit une petite boîte en métal.",le pharmacien de garde,"32, boulevard de Lemonnier, 15879 Martineau-sur-Lacombe",le Wednesday 03 July 2024 à 08h27
laissa tomber un trousseau de clés sans s’en apercevoir. C’était le Thursday 06 August 2015 à 22h30.,,,le Thursday 06 August 2015 à 22h30
"Nul ne sut pourquoi le chauffeur du bus 38 tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, .",le chauffeur du bus 38,une route de campagne,
un agent municipal laissa tomber un trousseau de clés sans s’en apercevoir sans attirer l’attention dans un arrêt de bus.,un agent municipal,un arrêt de bus,le Saturday 28 November 2020 à 14h58
"Nul ne sut pourquoi le gardien du stade déploya un petit tapis sur le sol et s’assit en tailleur, en pleine nuit.",le gardien du stade,le vieux marché,en pleine nuit
"le Friday 07 February 2020 à 03h37, Alice du Valentin poussa un cri bref avant de disparaître entre deux voitures.",Alice du Valentin,le vieux marché,le Friday 07 February 2020 à 03h37
"Capucine Rousset du Caron s’accroupit pour observer quelque chose au sol, l’air perplexe. C’était .",Capucine Rousset du Caron,"823, chemin Samson, 01848 Sainte Nicolasdan",
"tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, ce fut tout ce qu’on vit de Honoré Mendès-Clément.",Honoré Mendès-Clément,le bord d’un canal,le Saturday 11 January 2020 à 02h39
"Sans dire un mot, Monique Charles de la Bourgeois laissa tomber un trousseau de clés sans s’en apercevoir dans un café du coin.",Monique Charles de la Bourgeois,un café du coin,le Thursday 03 December 2020 à 19h06
"dans un arrêt de bus, au lever du jour, s’effaça dans l’ombre d’un porche sans prononcer un mot.",,un arrêt de bus,au lever du jour
"s’accroupit pour observer quelque chose au sol, l’air perplexe, ce fut tout ce qu’on vit de la responsable du centre d'accueil.",la responsable du centre d'accueil,"rue Noël Devaux, 76738 Michel",un matin d'hiver
"Dans le silence, le chauffeur du bus 38 ouvrit un sac en plastique et en sortit une petite boîte en métal .",le chauffeur du bus 38,,en début d'après-midi
"à la sortie des bureaux, Maggie Dupuis-Lucas s’effaça dans l’ombre d’un porche sans prononcer un mot.",Maggie Dupuis-Lucas,,à la sortie des bureaux
