evenement,lieu,moment,individus,texte
désaccord vif lors d’une sortie scolaire,Meurthe-et-Moselle,novembre 2016,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Meurthe-et-Moselle comme contexte géographique. Le déroulement aurait eu lieu à novembre 2016.
coup de portière accidentel,,2018,"Claire Barbier, Antoine, un visiteur, le colocataire","Un fait divers a marqué les esprits. Ce moment précis : 2018, revient souvent. Claire Barbier, Antoine, un visiteur, le colocataire figure dans les rapports initiaux."
panne de courant localisée,halle des sports,,"un tiers, Élise Dupont, une boulangère, Lemoine","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de halle des sports. Une implication possible de un tiers, Élise Dupont, une boulangère, Lemoine est évoquée."
effet de vibration localisée sur une dalle,Champagne-Ardenne,,"un inconnu, la patronne","Un événement troublant a eu lieu. La scène s’est produite à la Champagne-Ardenne. un inconnu, la patronne aurait été directement concerné."
menaces voilées dans un immeuble,"52 rue de la Liberté, Vierzon",17 novembre de l’année 2023,"un policier, le colocataire","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 52 rue de la Liberté, Vierzon. Les faits datent de 17 novembre de l’année 2023, d'après certaines sources. La présence de un policier, le colocataire est signalée sur les lieux."
blessure avec un outil de bricolage,77106,24/12/2023,,Un fait divers a marqué les esprits. 77106 serait le le point de départ de l'incident. On évoque 24/12/2023 comme repère temporel.
détention illégale d’arme de poing,Franche-Comté,2016/09/5,un avocat,La présence d’un dispositif menaçant a été évoquée. Le lieu de l’incident a été identifié comme Franche-Comté. La période de 2016/09/5 est mentionnée. Des témoignages font état de un avocat.
explosion d’un aérosol,"26 boulevard du Général Leclerc, Millau",,"une juge, une amie, un inconnu, le neveu, Nina, Marie Picard, Garnier, Gauthier","Un événement troublant a eu lieu. C’est dans les environs de 26 boulevard du Général Leclerc, Millau que les faits se sont produits. une juge, une amie, un inconnu, le neveu, Nina, Marie Picard, Garnier, Gauthier semble impliqué d’une manière ou d’une autre."
vol à l’arraché,parc municipal,2012,un suspect,Un acte de vol a été commis discrètement. Plusieurs sources mentionnent parc municipal comme contexte géographique. Le déroulement aurait eu lieu à 2012. La situation aurait impliqué un suspect.
vibration brève d’un sol stratifié,"139 boulevard des Acacias, Tulle",samedi,"un ingénieur, Dupont, un policier, Antoine Picard","Un fait divers a marqué les esprits. Les informations pointent vers 139 boulevard des Acacias, Tulle. Ce moment précis : samedi, revient souvent. un ingénieur, Dupont, un policier, Antoine Picard figure dans les rapports initiaux."
regroupement suspect de scooters,"10 rue des Tilleuls, Lourdes",lundi 28 mars 2022,un tiers,"Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 10 rue des Tilleuls, Lourdes. lundi 28 mars 2022 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un tiers est évoquée."
agression d’un surveillant scolaire,école communale,30/09,quelqu’un,"Un événement troublant a eu lieu. La scène s’est produite à école communale. Le moment exact reste flou, mais cela remonterait à 30/09. quelqu’un aurait été directement concerné."
usage d’un pistolet à billes sur piétons,Bouches-du-Rhône,le 31 décembre à 07h22,"un témoin, Garnier, un médecin","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Bouches-du-Rhône. Les faits datent de le 31 décembre à 07h22, d'après certaines sources. La présence de un témoin, Garnier, un médecin est signalée sur les lieux."
explosion artisanale dans un hall d’immeuble,Limousin,01/2003,,Un fait divers a marqué les esprits. Limousin serait le le point de départ de l'incident. On évoque 01/2003 comme repère temporel.
effraction d’un local professionnel,Picardie,,"Hugo Lemoine, un ingénieur, Barbier","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Picardie. Des témoignages font état de Hugo Lemoine, un ingénieur, Barbier."
désaccord vif lors d’une sortie scolaire,Corse,9 mars 2008,"un menuisier, un chauffeur de taxi","Un événement troublant a eu lieu. C’est dans les environs de Corse que les faits se sont produits. 9 mars 2008 correspondrait à la période des faits. un menuisier, un chauffeur de taxi semble impliqué d’une manière ou d’une autre."
chute d’échafaudage léger,66873,,"Paul Garnier, Maxime Picard, un témoin","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 66873 comme contexte géographique. La situation aurait impliqué Paul Garnier, Maxime Picard, un témoin."
coup de tête lors d’une altercation,"97 boulevard du Général Leclerc, Autun",lundi 11 août 2003,,"Un fait divers a marqué les esprits. Les informations pointent vers 97 boulevard du Général Leclerc, Autun. Ce moment précis : lundi 11 août 2003, revient souvent."
arrêt inopiné d’un ascenseur,"97 boulevard du Général Leclerc, Autun",22h4,un résident,"Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 97 boulevard du Général Leclerc, Autun. 22h4 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un résident est évoquée."
usage d’une arme blanche,le toit d’un immeuble,,"Léa Dupont, Élise","Une arme aurait été entrevue brièvement. La scène s’est produite à le toit d’un immeuble. Léa Dupont, Élise aurait été directement concerné."
chute d’échafaudage léger,Tulle,15h45,Pires,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Tulle. Les faits datent de 15h45, d'après certaines sources. La présence de Pires est signalée sur les lieux."
vol de sac à main,pont médiéval,tôt dans la matinée,"la patronne, quelqu’un, le frère, Hugo, une pharmacienne, le colocataire, un homme","Une disparition suspecte de biens a été signalée. pont médiéval serait le le point de départ de l'incident. On évoque tôt dans la matinée comme repère temporel. la patronne, quelqu’un, le frère, Hugo, une pharmacienne, le colocataire, un homme a été identifié comme partie prenante."
haussement de ton entre clients,boulevard de la Paix,7 septembre 2017,une amie,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme boulevard de la Paix. La période de 7 septembre 2017 est mentionnée. Des témoignages font état de une amie.
fuite après accident corporel,"33 boulevard de la Paix, Chinon",19h24,un médecin,"Quelqu’un s’est éclipsé rapidement, éveillant les soupçons. C’est dans les environs de 33 boulevard de la Paix, Chinon que les faits se sont produits. 19h24 correspondrait à la période des faits. un médecin semble impliqué d’une manière ou d’une autre."
violence entre bandes rivales,Maine-et-Loire,le soir,"un ami, Garnier","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Maine-et-Loire comme contexte géographique. Le déroulement aurait eu lieu à le soir. La situation aurait impliqué un ami, Garnier."
dégradation volontaire d’un véhicule,arc de triomphe régional,le 9 décembre à 15h09,"Fontaine, un individu, Léa Dupont","Une disparition suspecte de biens a été signalée. Les informations pointent vers arc de triomphe régional. Ce moment précis : le 9 décembre à 15h09, revient souvent. Fontaine, un individu, Léa Dupont figure dans les rapports initiaux."
insultes mutuelles dans une laverie,chapelle des pénitents,15 juin 2009,"Julien, le mari de Marie, une juge, Marie Lemoine","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de chapelle des pénitents. 15 juin 2009 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Julien, le mari de Marie, une juge, Marie Lemoine est évoquée."
échange d’invectives à l’arrêt de bus,Thiers,,une pharmacienne,Un événement troublant a eu lieu. La scène s’est produite à la Thiers. une pharmacienne aurait été directement concerné.
manipulation anormale d’une grille,Die,décembre,"un suspect, le colocataire, un plombier, une connaissance, Adam","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Die. Les faits datent de décembre, d'après certaines sources. La présence de un suspect, le colocataire, un plombier, une connaissance, Adam est signalée sur les lieux."
violences conjugales suspectées,une zone de stockage,8/02/2023,"un garagiste, Thomas Chevalier","Un fait divers a marqué les esprits. une zone de stockage serait le le point de départ de l'incident. On évoque 8/02/2023 comme repère temporel. un garagiste, Thomas Chevalier a été identifié comme partie prenante."
faux témoignage délibéré,,le 9 mars à 22h41,Maxime Adam,Un incident non élucidé a été rapporté. La période de le 9 mars à 22h41 est mentionnée. Des témoignages font état de Maxime Adam.
conflit autour d’un colis mal distribué,Gérardmer,,,Un événement troublant a eu lieu. C’est dans les environs de Gérardmer que les faits se sont produits.
réplique agressive lors d’un débat public,"132 avenue de l’Égalité, Carpentras",samedi,un garagiste,"Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 132 avenue de l’Égalité, Carpentras comme contexte géographique. Le déroulement aurait eu lieu à samedi. La situation aurait impliqué un garagiste."
fuite de gaz,59929,le 5/04/2008 à 13h28,"Alice, un menuisier, une juge, le collègue de travail, Thomas Lemoine, Sophie","Une personne s’est volatilisée après les faits. Les informations pointent vers 59929. Ce moment précis : le 5/04/2008 à 13h28, revient souvent. Alice, un menuisier, une juge, le collègue de travail, Thomas Lemoine, Sophie figure dans les rapports initiaux."
mouvement d’un objet sans cause mécanique,terrain de pétanque,1/10,"Paul, une voisine, Julien Girard","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de terrain de pétanque. 1/10 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Paul, une voisine, Julien Girard est évoquée."
signalement de cliquetis derrière une cloison,Nouvelle-Aquitaine,,"Claire Adam, Lucas Fabre, un ami, un plombier, le neveu, Camille, un résident, une technicienne","Un événement troublant a eu lieu. La scène s’est produite à la Nouvelle-Aquitaine. Claire Adam, Lucas Fabre, un ami, un plombier, le neveu, Camille, un résident, une technicienne aurait été directement concerné."
vol dans un vestiaire,une arrière-salle,20h17,,"Un acte de vol a été commis discrètement. On localise les faits dans la zone de une arrière-salle. Les faits datent de 20h17, d'après certaines sources."
clou recourbé planté dans un mur en hauteur,une cage d’escalier,17 novembre,,Un fait divers a marqué les esprits. une cage d’escalier serait le le point de départ de l'incident. On évoque 17 novembre comme repère temporel.
arrêt inopiné d’un ascenseur,Morbihan,06/2020,"un habitant, le fiancé","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Morbihan. La période de 06/2020 est mentionnée. Des témoignages font état de un habitant, le fiancé."
changement brutal de couleur sur un affichage,"22 rue de l’Égalité, Mâcon",2003/07/13,,"Un événement troublant a eu lieu. C’est dans les environs de 22 rue de l’Égalité, Mâcon que les faits se sont produits. 2003/07/13 correspondrait à la période des faits."
détérioration d’un monument public,"174 avenue Paul Bert, Chaumont",13h et 45 minutes,,"Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 174 avenue Paul Bert, Chaumont comme contexte géographique. Le déroulement aurait eu lieu à 13h et 45 minutes."
claquage musculaire en montant les escaliers,,2000,,"Un fait divers a marqué les esprits. Ce moment précis : 2000, revient souvent."
haussement de ton entre clients,"148 impasse de la Liberté, Millau",11/2007,"un douanier, un complice, un inconnu, un passant","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 148 impasse de la Liberté, Millau. 11/2007 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un douanier, un complice, un inconnu, un passant est évoquée."
invective entre clients d’une brocante,"89 avenue Jean Jaurès, Beaune",,Claire Moreau,"Un événement troublant a eu lieu. La scène s’est produite à 89 avenue Jean Jaurès, Beaune. Claire Moreau aurait été directement concerné."
vol de vélo avec agression,"47 avenue de la République, Digne-les-Bains",,"un passant, un voisin, un journaliste, le fiancé","Un acte de vol a été commis discrètement. On localise les faits dans la zone de 47 avenue de la République, Digne-les-Bains. La présence de un passant, un voisin, un journaliste, le fiancé est signalée sur les lieux."
tentative d’homicide,"mairie, Vire",le 4/07/2019 à 22h57,"le mari de Marie, Pires, Perrin, Nathan Pires, un individu, un avocat, un ingénieur","Un fait divers a marqué les esprits. mairie, Vire serait le le point de départ de l'incident. On évoque le 4/07/2019 à 22h57 comme repère temporel. le mari de Marie, Pires, Perrin, Nathan Pires, un individu, un avocat, un ingénieur a été identifié comme partie prenante."
violence entre bandes rivales,"cimetière ancien, Louviers",le 18/07/2014 à 02h46,"Claire Moreau, un témoin, la patronne","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme cimetière ancien, Louviers. La période de le 18/07/2014 à 02h46 est mentionnée. Des témoignages font état de Claire Moreau, un témoin, la patronne."
lancer de projectiles,Nouvelle-Aquitaine,,"un inconnu, le mari de Marie, un inconnu, un ami","Un événement troublant a eu lieu. C’est dans les environs de Nouvelle-Aquitaine que les faits se sont produits. un inconnu, le mari de Marie, un inconnu, un ami semble impliqué d’une manière ou d’une autre."
incendie volontaire d’un conteneur,Limousin,12/06/2016,"Emma Garnier, Antoine Picard","Un acte de vol a été commis discrètement. Plusieurs sources mentionnent Limousin comme contexte géographique. Le déroulement aurait eu lieu à 12/06/2016. La situation aurait impliqué Emma Garnier, Antoine Picard."
rupture d'une canalisation,"école communale, Beaune",vers l’heure du dîner,"Zoé Muller, Moreau, Hugo","Un fait divers a marqué les esprits. Les informations pointent vers école communale, Beaune. Ce moment précis : vers l’heure du dîner, revient souvent. Zoé Muller, Moreau, Hugo figure dans les rapports initiaux."
agression sexuelle sur mineur,"164 impasse Paul Bert, Carpentras",30/01,"Picard, un résident, le frère","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 164 impasse Paul Bert, Carpentras. 30/01 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Picard, un résident, le frère est évoquée."
pulsation rythmée détectée dans une paroi,boulevard de la Paix,1 juin de l’année 2025,,"Un événement troublant a eu lieu. La scène s’est produite à boulevard de la Paix. Le moment exact reste flou, mais cela remonterait à 1 juin de l’année 2025."
intimidation avec couteau,Ardèche,,"le colocataire, Sophie, Maxime, une juge, la cousine","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Ardèche. La présence de le colocataire, Sophie, Maxime, une juge, la cousine est signalée sur les lieux."
propos injurieux entendus,"31 rue des Frênes, Sens",12 février,,"Une insulte lancée a provoqué des tensions. 31 rue des Frênes, Sens serait le le point de départ de l'incident. On évoque 12 février comme repère temporel."
violence entre bandes rivales,"esplanade des droits de l’homme, La Flèche",06h12,"une boulangère, Fabre","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme esplanade des droits de l’homme, La Flèche. La période de 06h12 est mentionnée. Des témoignages font état de une boulangère, Fabre."
usage de drones pour surveiller un domicile,"65 avenue Jean Jaurès, Autun",1/10,le collègue de travail,"Un événement troublant a eu lieu. C’est dans les environs de 65 avenue Jean Jaurès, Autun que les faits se sont produits. 1/10 correspondrait à la période des faits. le collègue de travail semble impliqué d’une manière ou d’une autre."
fuite après accident corporel,"173 impasse des Lilas, Chaumont",15h22,,"Une tentative de fuite a été remarquée. Plusieurs sources mentionnent 173 impasse des Lilas, Chaumont comme contexte géographique. Le déroulement aurait eu lieu à 15h22."
oscillation amplifiée d’un support fixe,"avenue de l’Égalité, Ussel",12h et 30 minutes,"un tiers, Paul Picard","Un fait divers a marqué les esprits. Les informations pointent vers avenue de l’Égalité, Ussel. Ce moment précis : 12h et 30 minutes, revient souvent. un tiers, Paul Picard figure dans les rapports initiaux."
agression sexuelle sur mineur,"impasse du Général Leclerc, Issoire",30/01,"Barbier, un avocat, le neveu, la femme de Julien, une voisine, un individu, le colocataire, un enseignant, une connaissance","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de impasse du Général Leclerc, Issoire. 30/01 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Barbier, un avocat, le neveu, la femme de Julien, une voisine, un individu, le colocataire, un enseignant, une connaissance est évoquée."
déclenchement visuel d’un voyant rouge,la chambre,24,"Alice Renard, un habitant, un chauffeur de taxi, Alice Adam","Un événement troublant a eu lieu. La scène s’est produite à la chambre. Le moment exact reste flou, mais cela remonterait à 24. Alice Renard, un habitant, un chauffeur de taxi, Alice Adam aurait été directement concerné."
mise hors service d’une caméra,,,,Une situation inhabituelle a attiré l’attention.
dispute autour d’un ballon dans une cour,,le 18/07/2014 à 02h46,"un jeune homme, un tiers, la sœur","Un fait divers a marqué les esprits. On évoque le 18/07/2014 à 02h46 comme repère temporel. un jeune homme, un tiers, la sœur a été identifié comme partie prenante."
dégradation de matériel scolaire,,avril,un médecin,Un incident non élucidé a été rapporté. La période de avril est mentionnée. Des témoignages font état de un médecin.
vibration continue dans un angle de pièce,"boulevard des Chênes, Forbach",10 août 2021,Chevalier,"Un événement troublant a eu lieu. C’est dans les environs de boulevard des Chênes, Forbach que les faits se sont produits. 10 août 2021 correspondrait à la période des faits. Chevalier semble impliqué d’une manière ou d’une autre."
étagère tombée dans un magasin,Vire,2024,un avocat,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Vire comme contexte géographique. Le déroulement aurait eu lieu à 2024. La situation aurait impliqué un avocat.
battement régulier audible derrière une cloison,4718,12h28,"un habitant, le neveu, un visiteur, Léa Fabre","Un fait divers a marqué les esprits. Les informations pointent vers 04718. Ce moment précis : 12h28, revient souvent. un habitant, le neveu, un visiteur, Léa Fabre figure dans les rapports initiaux."
lancer de projectiles,30552,12/2024,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 30552. 12/2024 : c’est ce qu’indiquent plusieurs témoignages.
balayage laser visible sur façade,4718,04/2023,une connaissance,"Un événement troublant a eu lieu. La scène s’est produite à 04718. Le moment exact reste flou, mais cela remonterait à 04/2023. une connaissance aurait été directement concerné."
interférence sur une fréquence radio locale,esplanade des droits de l’homme,2022,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de esplanade des droits de l’homme. Les faits datent de 2022, d'après certaines sources."
injures sexistes répétées,le toit-terrasse,,"un suspect, quelqu’un, une pharmacienne, le colocataire","Une insulte lancée a provoqué des tensions. le toit-terrasse serait le le point de départ de l'incident. un suspect, quelqu’un, une pharmacienne, le colocataire a été identifié comme partie prenante."
bruit sec suivi d’un silence prolongé,Côte-d'Or,11 déc. 2010,"un agent immobilier, un voisin","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Côte-d'Or. La période de 11 déc. 2010 est mentionnée. Des témoignages font état de un agent immobilier, un voisin."
incendie volontaire d’un conteneur,fort Vauban,tôt dans la matinée,"un avocat, une voisine, un suspect, un inconnu","Des objets ont mystérieusement disparu. C’est dans les environs de fort Vauban que les faits se sont produits. tôt dans la matinée correspondrait à la période des faits. un avocat, une voisine, un suspect, un inconnu semble impliqué d’une manière ou d’une autre."
dérapage d’un véhicule en virage,boulevard des Sources,,Noël,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent boulevard des Sources comme contexte géographique. La situation aurait impliqué Noël.
jet de liquide non identifié,"197 avenue de l’Égalité, Barentin",2h et 57 minutes,"un client, la cousine","Un fait divers a marqué les esprits. Les informations pointent vers 197 avenue de l’Égalité, Barentin. Ce moment précis : 2h et 57 minutes, revient souvent. un client, la cousine figure dans les rapports initiaux."
impact de balle de sport sur visage,Auvergne-Rhône-Alpes,le 9 décembre à 15h09,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Auvergne-Rhône-Alpes. le 9 décembre à 15h09 : c’est ce qu’indiquent plusieurs témoignages.
interstice agrandi entre deux panneaux,menhir du grand champ,,,Un événement troublant a eu lieu. La scène s’est produite à menhir du grand champ.
récrimination insistante lors d’un paiement,19830,7/02/2025,"un suspect, Alice","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 19830. Les faits datent de 7/02/2025, d'après certaines sources. La présence de un suspect, Alice est signalée sur les lieux."
aboiements persistants,11336,31 janvier 2017,un employé de mairie,Un fait divers a marqué les esprits. 11336 serait le le point de départ de l'incident. On évoque 31 janvier 2017 comme repère temporel. un employé de mairie a été identifié comme partie prenante.
racket sur la voie publique,"107 rue Lavoisier, Barentin",13/11/2024,"une personne, un client, un employé de mairie","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 107 rue Lavoisier, Barentin. La période de 13/11/2024 est mentionnée. Des témoignages font état de une personne, un client, un employé de mairie."
injures sexistes répétées,"18 impasse des Chênes, Barentin",,,"Des propos déplacés ont été entendus, créant un malaise. C’est dans les environs de 18 impasse des Chênes, Barentin que les faits se sont produits."
présence de tags récents,Martinique,le 3 octobre à 23h18,"Claire Adam, une amie, le neveu, Lemoine, la femme de Julien","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Martinique comme contexte géographique. Le déroulement aurait eu lieu à le 3 octobre à 23h18. La situation aurait impliqué Claire Adam, une amie, le neveu, Lemoine, la femme de Julien."
haussement de ton entre clients,,15 juin 2009,,"Un fait divers a marqué les esprits. Ce moment précis : 15 juin 2009, revient souvent."
invasion d’un stade sans autorisation,centre culturel,8 octobre 2024,"une vieille dame, Nina, une juge, le collègue de travail","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de centre culturel. 8 octobre 2024 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une vieille dame, Nina, une juge, le collègue de travail est évoquée."
vente illicite de médicaments,"halle des sports, Issoire",décembre 2016,"un médecin, un policier","Un événement troublant a eu lieu. La scène s’est produite à halle des sports, Issoire. Le moment exact reste flou, mais cela remonterait à décembre 2016. un médecin, un policier aurait été directement concerné."
activation d’un moteur sans ordre émis,terrain de pétanque,15h8,"un habitant, un résident, la patronne","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de terrain de pétanque. Les faits datent de 15h8, d'après certaines sources. La présence de un habitant, un résident, la patronne est signalée sur les lieux."
encoche fraîchement découpée dans une paroi,Var,,,Un fait divers a marqué les esprits. Var serait le le point de départ de l'incident.
dérapage d’un véhicule en virage,avenue Paul Bert,,"Maxime Adam, un facteur, le neveu","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme avenue Paul Bert. Des témoignages font état de Maxime Adam, un facteur, le neveu."
vibration continue dans un angle de pièce,42853,,"Garnier, la sœur","Un événement troublant a eu lieu. C’est dans les environs de 42853 que les faits se sont produits. Garnier, la sœur semble impliqué d’une manière ou d’une autre."
violence sur agent public,"20 rue de la Paix, Chaumont",,"un jeune homme, Lemoine","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 20 rue de la Paix, Chaumont comme contexte géographique. La situation aurait impliqué un jeune homme, Lemoine."
dispute entre voisins à propos de bruit,Bretagne,,le mari de Marie,Une insulte lancée a provoqué des tensions. Les informations pointent vers Bretagne. le mari de Marie figure dans les rapports initiaux.
déformation d’un montant métallique,"103 chemin Jean Jaurès, Foix",4h39,"le colocataire, une amie","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 103 chemin Jean Jaurès, Foix. 4h39 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de le colocataire, une amie est évoquée."
tentative de viol,terrain de pétanque,15h45,"Emma, la sœur, une boulangère","Un événement troublant a eu lieu. La scène s’est produite à terrain de pétanque. Le moment exact reste flou, mais cela remonterait à 15h45. Emma, la sœur, une boulangère aurait été directement concerné."
oscillation d’une antenne sur toit plat,Franche-Comté,le matin,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Franche-Comté. Les faits datent de le matin, d'après certaines sources."
coupure au doigt lors d’un repas,"avenue des Sources, Millau",dimanche,Marie Lemoine,"Un fait divers a marqué les esprits. avenue des Sources, Millau serait le le point de départ de l'incident. On évoque dimanche comme repère temporel. Marie Lemoine a été identifié comme partie prenante."
fuite après accident corporel,chemin Pasteur,20h17,,Un départ précipité a été observé. Le lieu de l’incident a été identifié comme chemin Pasteur. La période de 20h17 est mentionnée.
menaces verbales en pleine rue,"centre culturel, Barentin",mardi,un policier,"Un événement troublant a eu lieu. C’est dans les environs de centre culturel, Barentin que les faits se sont produits. mardi correspondrait à la période des faits. un policier semble impliqué d’une manière ou d’une autre."
chute d’un panneau de signalisation,"136 chemin des Écoles, Sarlat",15 oct. 2010,"Emma Renard, le collègue de travail","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 136 chemin des Écoles, Sarlat comme contexte géographique. Le déroulement aurait eu lieu à 15 oct. 2010. La situation aurait impliqué Emma Renard, le collègue de travail."
intimidation dans un parking souterrain,rue Jean Jaurès,6 déc. 2018,,"Un fait divers a marqué les esprits. Les informations pointent vers rue Jean Jaurès. Ce moment précis : 6 déc. 2018, revient souvent."
accident de jardinage,87341,4h49,Picard,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 87341. 4h49 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Picard est évoquée.
clignotement d’un voyant non connecté,Auvergne-Rhône-Alpes,31/08/2019,Maxime,"Un événement troublant a eu lieu. La scène s’est produite à la Auvergne-Rhône-Alpes. Le moment exact reste flou, mais cela remonterait à 31/08/2019. Maxime aurait été directement concerné."
intervention d’un tiers pour séparer deux personnes,boulevard de l’Égalité,3h et 38 minutes,Alice Renard,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de boulevard de l’Égalité. Les faits datent de 3h et 38 minutes, d'après certaines sources. La présence de Alice Renard est signalée sur les lieux."
désaccord vif lors d’une sortie scolaire,,8/02/2023,"un homme, Thomas, une infirmière, Emma Perrin, le fiancé","Un fait divers a marqué les esprits. On évoque 8/02/2023 comme repère temporel. un homme, Thomas, une infirmière, Emma Perrin, le fiancé a été identifié comme partie prenante."
coupure au doigt lors d’un repas,école communale,,"Hubert, Julien, un voisin, une voisine, une connaissance, la sœur","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme école communale. Des témoignages font état de Hubert, Julien, un voisin, une voisine, une connaissance, la sœur."
déclenchement d’un buzzer sans pression apparente,Moselle,,le colocataire,Un événement troublant a eu lieu. C’est dans les environs de Moselle que les faits se sont produits. le colocataire semble impliqué d’une manière ou d’une autre.
coup de tête lors d’une altercation,menhir du grand champ,6/02/2021,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent menhir du grand champ comme contexte géographique. Le déroulement aurait eu lieu à 6/02/2021.
trace de morsure sur une matière souple,85015,5/08,"une voisine, un plombier, le collègue de travail, un médecin, une technicienne, le fiancé","Un fait divers a marqué les esprits. Les informations pointent vers 85015. Ce moment précis : 5/08, revient souvent. une voisine, un plombier, le collègue de travail, un médecin, une technicienne, le fiancé figure dans les rapports initiaux."
altercation verbale dans un hall d’immeuble,fontaine aux lions,mercredi,Emma,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de fontaine aux lions. mercredi : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Emma est évoquée.
menace écrite déposée sur un pare-brise,Indre-et-Loire,janvier 2017,"une juge, le colocataire, Thomas Perrin, un ami","Un événement troublant a eu lieu. La scène s’est produite à la Indre-et-Loire. Le moment exact reste flou, mais cela remonterait à janvier 2017. une juge, le colocataire, Thomas Perrin, un ami aurait été directement concerné."
acte de cruauté sur animal,"61 chemin des Lilas, Brignoles",12 mars 2024,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 61 chemin des Lilas, Brignoles. Les faits datent de 12 mars 2024, d'après certaines sources."
regard jugé provocateur entraînant une dispute,Picardie,12/06/2016,un avocat,Un fait divers a marqué les esprits. Picardie serait le le point de départ de l'incident. On évoque 12/06/2016 comme repère temporel. un avocat a été identifié comme partie prenante.
explosion d’un aérosol,36058,14h55,Fabre,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 36058. La période de 14h55 est mentionnée. Des témoignages font état de Fabre.
oscillation amplifiée d’un support fixe,Vire,05h07,,Un événement troublant a eu lieu. C’est dans les environs de Vire que les faits se sont produits. 05h07 correspondrait à la période des faits.
pulsation lumineuse à travers une fente,17059,,"Alice, le collègue de travail, Barbier, une juge, un notaire","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 17059 comme contexte géographique. La situation aurait impliqué Alice, le collègue de travail, Barbier, une juge, un notaire."
voiture incendiée volontairement,La Flèche,12/06/2016,"la cousine, Renard","Une disparition suspecte de biens a été signalée. Les informations pointent vers La Flèche. Ce moment précis : 12/06/2016, revient souvent. la cousine, Renard figure dans les rapports initiaux."
détérioration d’un monument public,"197 avenue de l’Égalité, Barentin",9 septembre,"Élise Dupont, une connaissance, un voisin, Zoé Marchand","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 197 avenue de l’Égalité, Barentin. 9 septembre : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Élise Dupont, une connaissance, un voisin, Zoé Marchand est évoquée."
